tracker_id,solo_Wins,solo_HeadshotKillsPg
12025,0.09434,0.024
54167,0.292453,0.042182
17895,0.292453,0.042909
31296,0.150943,0.014545
3734,0.009434,0.181818
13967,0.009434,0.020364
127,0.009434,0.072727
163080,0.009434,0.030545
13141,0.009434,0.036364
80461,0.037736,0.028364
7364,0.009434,0.042182
63670,0.037736,0.048727
209547,0.113208,0.028364
53783,0.339623,0.053818
154522,0.113208,0.067636
72381,0,0
17878,0.009434,0.012364
24433,0,0
9595,0.490566,0.038545
8089,0.018868,0.046545
8514,0.084906,0.015273
19264,0.066038,0.053818
2866,0.009434,0.036364
13971,0.075472,0.056
97555,0.037736,0.018182
13102,0,0.009455
87673,0.113208,0.034182
15906,0.009434,0.057455
12133,0.018868,0.037818
1436,0.04717,0.023273
16526,0,0
148107,0.122642,0.013818
129462,0.009434,0.043636
218113,0.056604,0.018182
10883,0.330189,0.049455
5282,0.09434,0.114182
50928,0.028302,0.025455
6922,0.009434,0.072727
1438,0.311321,0.052364
43688,0.198113,0.066909
15976,0.415094,0.062545
26839,0.037736,0.04
13405,0.235849,0.026182
156587,0.245283,0.021818
176412,0.160377,0.045091
215323,0.018868,0.014545
1683,0,0.109091
188615,0.009434,0.096727
53939,0.103774,0.104727
121716,0.018868,0.096727
63734,0.04717,0.032
51287,0.018868,0.038545
50209,0.037736,0.025455
14579,0.028302,0.045091
76545,0.179245,0.015273
36563,0.09434,0.029091
14361,0.066038,0.008
169645,0.009434,0.051636
15310,0.018868,0.016
4411,0.04717,0.056
51298,0.056604,0.067636
33696,0.160377,0.029091
92525,0,0.019636
7173,0.179245,0.016
105564,0.141509,0.035636
6951,0.160377,0.065455
39226,0.037736,0.016
80346,0.415094,0.029091
1479,0.04717,0.077818
213238,0.04717,0.036364
72043,0.018868,0.145455
22187,0.566038,0.045091
22940,0,0.056
24564,0.009434,0.018182
129314,0.084906,0.012364
14569,0.018868,0.041455
15782,0.028302,0.030545
7074,0.04717,0.030545
47210,0.207547,0.016
121715,0.150943,0.018182
176159,0.009434,0.010909
13330,0,0.048727
6254,0.009434,0.024
16517,0,0.008
11825,0.59434,0.038545
150145,0.028302,0.157818
12668,0.018868,0.045818
5812,0.037736,0.055273
149377,0.037736,0.020364
29238,0.037736,0.029091
87410,0.009434,0.015273
24989,0.04717,0.046545
25337,0.339623,0.042182
62125,0.037736,0.020364
142408,0,0.026182
33278,0.018868,0.036364
152185,0.04717,0.026909
14051,0.028302,0.095273
172188,0.018868,0.028364
39235,0,0.016727
2274,0,0.101818
2176,0.09434,0.081455
1178,0.056604,0.033455
27394,0.056604,0.045091
19387,0,0.029091
6669,0.084906,0.037091
22614,0.066038,0.096727
20449,0.132075,0.097455
12493,0.773585,0.059636
42407,0.009434,0.018909
176904,0.132075,0.029818
94574,0,0.026182
3836,0,0
71839,0.113208,0.013091
13406,0.188679,0.026909
16041,0.018868,0.008
14041,0.018868,0.046545
31108,0.04717,0.036364
26630,0.018868,0.053818
7432,0.009434,0.064727
15330,0.349057,0.046545
51147,0.150943,0.017455
33322,0.084906,0.020364
105777,0.028302,0.045091
7738,0.009434,0.040727
38716,0.056604,0.027636
8707,0.09434,0.007273
42857,0.009434,0.024
210321,0.028302,0.021091
212338,0.04717,0.014545
22672,0.009434,0.050182
